id,code,code_name,f_code,f_time_from,f_time_to,f_price,fees,total_price,from,airport_from,to,airport_to,type,date
vj16169868101,vj,Vietjet,VJ402,2026-04-01 16:05:00,2026-04-01 18:15:00,409000,661900,1070900,Đà Lạt,Liên Khương (DLI),Hà Nội,Nội Bài (HAN),Eco,2026-04-01
vj16169867400,vj,Vietjet,VJ403,2026-04-01 05:30:00,2026-04-01 07:20:00,609000,671900,1280900,Hà Nội,Nội Bài (HAN),Đà Lạt,Liên Khương (DLI),Eco,2026-04-01
vta16169854970,vta,Vietravel Airlines,VU 301,2026-04-01 13:00:00,2026-04-01 14:05:00,150000,646000,796000,TP HCM,Tân Sơn Nhất (SGN),Phú Quốc,Phú Quốc (PQC),Cregow (C) - Vé không hoàn,2026-04-01
vna161698763014,vna,Pacific Airlines,VN6056,2026-04-02 19:30:00,2026-04-02 20:50:00,149000,655000,804000,TP HCM,Tân Sơn Nhất (SGN),Đà Nẵng,Đà Nẵng (DAD),Economy (EL)-P,2026-04-02
vj16169878284,vj,Vietjet,VJ343,2026-04-02 11:55:00,2026-04-02 12:50:00,569000,667900,1236900,TP HCM,Tân Sơn Nhất (SGN),Phú Quốc,Phú Quốc (PQC),Eco,2026-04-02
vna16169887540,vna,Vietnam Airlines,VN7151,2026-04-02 06:30:00,2026-04-02 07:55:00,1309000,751000,2060000,Hà Nội,Nội Bài (HAN),Đà Nẵng,Đà Nẵng (DAD),Economy (EF)-H,2026-04-02
vj16169913831,vj,Vietjet,VJ771,2026-04-03 07:35:00,2026-04-03 09:15:00,1029000,713900,1742900,Hà Nội,Nội Bài (HAN),Nha Trang,Cam Ranh (CXR),Eco,2026-04-03
vna16169896023,vna,Vietnam Airlines,VN207,2026-04-03 07:00:00,2026-04-03 09:15:00,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P,2026-04-03
vj16169898203,vj,Vietjet,VJ282,2026-04-03 12:30:00,2026-04-03 14:30:00,299000,660900,959900,TP HCM,Tân Sơn Nhất (SGN),Hải Phòng,Cát Bi (HPH),Eco,2026-04-03
qh16169937211,qh,Bamboo Airways,QH1626,2026-04-04 17:55:00,2026-04-04 20:00:00,5300000,1152000,6452000,Phú Quốc,Phú Quốc (PQC),Hà Nội,Nội Bài (HAN),Buz Flex,2026-04-04
vna16169919233,vna,Vietnam Airlines,VN207,2026-04-04 07:00:00,2026-04-04 09:15:00,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P,2026-04-04
qh16169921451,qh,Bamboo Airways,QH1544,2026-04-04 12:40:00,2026-04-04 14:40:00,69000,659000,728000,TP HCM,Tân Sơn Nhất (SGN),Hải Phòng,Cát Bi (HPH),Eco Saver max,2026-04-04
vta16169949450,vta,Vietravel Airlines,VU 301,2026-04-05 13:00:00,2026-04-05 14:05:00,90000,650000,740000,TP HCM,Tân Sơn Nhất (SGN),Phú Quốc,Phú Quốc (PQC),Bregow (B) - Vé không hoàn,2026-04-05
